t (s);T (°C)
12755;25,5943
12765;25,5788
12775;25,5641
12785;25,5385
12795;25,4848
12805;25,4806
12815;25,4447
12825;25,4238
12835;25,4154
12845;25,4058
12855;25,4061
12865;25,4067
12875;25,4052
12885;25,3996
12895;25,3877
12905;25,3726
12915;25,3637
12925;25,3476
12935;25,3241
12945;25,3085
12955;25,2909
12965;25,2939
12975;25,2916
12985;25,2724
12995;25,2437
13005;25,2364
13015;25,2265
13025;25,2195
13035;25,2029
13045;25,1872
13055;25,165
13065;25,1516
13075;25,1465
13085;25,1329
13095;25,1201
13105;25,1123
13115;25,107
13125;25,0964
13135;25,0888
13145;25,0753
13155;25,0346
13165;24,9966
13175;24,9784
13185;25,0018
13195;24,9669
13205;24,9716
13215;24,943
13225;24,9421
13235;24,9441
13245;24,9327
13255;24,9097
13265;24,8675
13275;24,8703
13285;24,8713
13295;24,7957
13305;24,8345
13315;24,8601
13325;24,8606
13335;24,8468
13345;24,8127
13355;24,7921
13365;24,7907
13375;24,7863
13385;24,7692
13395;24,7565
13405;24,7406
13415;24,7292
13425;24,7158
13435;24,6814
13445;24,6535
13455;24,6527
13465;24,6531
13475;24,6482
13485;24,6426
13495;24,6361
13505;24,6131
13515;24,6019
13525;24,5997
13535;24,6004
13545;24,5926
13555;24,5725
13565;24,5265
13575;24,5193
13585;24,5217
13595;24,5168
13605;24,5081
13615;24,5009
13625;24,4864
13635;24,4216
13645;24,427
13655;24,4357
13665;24,4371
13675;24,4332
13685;24,389
13695;24,3585
13705;24,3563
13715;24,3539
13725;24,3555
13735;24,3622
13745;24,3422
13755;24,2872
13765;24,2837
13775;24,3039
13785;24,3149
13795;24,2974
13805;24,2839
13815;24,2739
13825;24,2477
13835;24,2511
13845;24,2496
13855;24,2463
13865;24,2421
13875;24,2341
13885;24,2121
13895;24,1736
13905;24,155
13915;24,1615
13925;24,1695
13935;24,1603
13945;24,1384
13955;24,0763
13965;24,0398
13975;24,0403
13985;24,0333
13995;24,0214
14005;24,0258
14015;24,0452
14025;24,0569
14035;24,0611
14045;24,059
14055;24,0495
14065;24,034
14075;24,0222
14085;24,0048
14095;23,9637
14105;23,9023
14115;23,8956
14125;23,8864
14135;23,8805
14145;23,8953
14155;23,9154
14165;23,9231
14175;23,923
14185;23,9141
14195;23,9
14205;23,8854
14215;23,8782
14225;23,87
14235;23,8686
14245;23,8604
14255;23,8499
14265;23,8361
14275;23,8238
14285;23,8132
14295;23,8032
14305;23,7888
14315;23,7741
14325;23,7506
14335;23,7311
14345;23,7183
14355;23,7205
14365;23,7243
14375;23,7181
14385;23,7116
14395;23,7047
14405;23,7034
14415;23,6977
14425;23,6836
14435;23,6743
14445;23,6652
14455;23,6495
14465;23,6469
14475;23,6416
14485;23,6334
14495;23,6261
14505;23,613
14515;23,6029
14525;23,5713
14535;23,5476
14545;23,5532
14555;23,551
14565;23,5359
14575;23,5246
14585;23,514
14595;23,5124
14605;23,5084
14615;23,5037
14625;23,498
14635;23,4925
14645;23,487
14655;23,4818
14665;23,4718
14675;23,4591
14685;23,4148
14695;23,3673
14705;23,3331
14715;23,3498
14725;23,3735
14735;23,379
14745;23,3725
14755;23,3713
14765;23,3684
14775;23,36
14785;23,3372
14795;23,3326
14805;23,3318
14815;23,3249
14825;23,3178
14835;23,3082
14845;23,2971
14855;23,2848
14865;23,2755
14875;23,2636
14885;23,2607
14895;23,2448
14905;23,2395
14915;23,236
14925;23,2364
14935;23,2147
14945;23,212
14955;23,2053
14965;23,2044
14975;23,1997
14985;23,1942
14995;23,1823
15005;23,1681
15015;23,158
15025;23,1475
15035;23,1366
15045;23,1369
15055;23,1287
15065;23,1017
15075;23,0846
15085;23,0847
15095;23,0805
15105;23,0797
15115;23,0726
15125;23,0658
15135;23,0619
15145;23,046
15155;23,0378
15165;23,0302
15175;22,9847
15185;22,9777
15195;22,9881
15205;22,9918
15215;22,9876
15225;22,986
15235;22,9806
15245;22,9734
15255;22,9611
15265;22,9558
15275;22,9471
15285;22,9413
15295;22,9342
15305;22,9172
15315;22,9087
15325;22,9075
15335;22,9016
15345;22,8946
15355;22,8863
15365;22,8816
15375;22,873
15385;22,8661
15395;22,856
15405;22,8543
15415;22,8437
15425;22,8242
15435;22,8266
15445;22,826
15455;22,8185
15465;22,811
15475;22,8049
15485;22,7962
15495;22,7926
15505;22,7801
15515;22,7705
15525;22,761
15535;22,7515
15545;22,7463
15555;22,7393
15565;22,7343
15575;22,7266
15585;22,7208
15595;22,7124
15605;22,7101
15615;22,6991
15625;22,6915
15635;22,6822
15645;22,6734
15655;22,6643
15665;22,6568
15675;22,6496
15685;22,6427
15695;22,635
15705;22,6275
15715;22,6246
15725;22,6159
15735;22,608
15745;22,6018
15755;22,5943
15765;22,588
15775;22,5845
15785;22,5782
15795;22,5711
15805;22,5637
15815;22,5534
15825;22,5558
15835;22,5413
15845;22,5336
15855;22,5236
15865;22,5167
15875;22,5127
15885;22,5036
15895;22,4988
15905;22,4911
15915;22,4855
15925;22,4812
15935;22,4726
15945;22,4648
15955;22,4524
15965;22,4501
